,resourceurl,citationcount,title,year
0,https://github.com/D-X-Y/ResNeXt-DenseNet/blob/master/README.md,73484,deep residual learning for image recognition,2016.0
1,http://lmb.informatik.uni-freiburg.de/people/ronneber/u-net/,25181,u net convolutional networks for biomedical image segmentation,2015.0
2,https://github.com/open-mmlab/mmsegmentation/blob/master/configs/unet/README.md,25181,u net convolutional networks for biomedical image segmentation,2015.0
3,https://github.com/keillernogueira/remote_sensing_segmentation/blob/master/README.md,25181,u net convolutional networks for biomedical image segmentation,2015.0
4,https://github.com/yun-liu/plot-edge-pr-curves/blob/master/readme.md,22605,a computational approach to edge detection,1986.0
5,https://github.com/bowenc0221/mxnet-gan/blob/master/readme.md,22042,generative adversarial nets,2014.0
6,https://github.com/XiaoQQin/BERT-fine-tuning-for-twitter-sentiment-analysis/blob/master/test_bert/README.md,21674,bert pre training of deep bidirectional transformers for language understanding,2018.0
7,https://github.com/PaddlePaddle/PaddleHelix/blob/dev/apps/pretrained_protein/tape/README_cn.md,21674,bert pre training of deep bidirectional transformers for language understanding,2018.0
8,https://github.com/FuYanzhe2/Name-Entity-Recognition/blob/master/BERT-BiLSTM-CRF-NER/bert/README.md,21674,bert pre training of deep bidirectional transformers for language understanding,2018.0
9,https://github.com/PaddlePaddle/PaddleHelix/blob/dev/apps/pretrained_protein/tape/README_cn.md,19209,attention is all you need,2017.0
10,https://github.com/PaddlePaddle/PaddleHelix/blob/dev/apps/pretrained_protein/tape/README.md,19209,attention is all you need,2017.0
11,https://github.com/makefile/frcnn/blob/master/README.md,14388,faster r cnn towards real time object detection with region proposal networks,2015.0
12,https://github.com/liuzhuang13/DenseNet,14204,densely connected convolutional networks,2017.0
13,https://github.com/D-X-Y/ResNeXt-DenseNet/blob/master/README.md,14204,densely connected convolutional networks,2017.0
14,https://github.com/liuzhuang13/DenseNet/blob/master/README.md,14204,densely connected convolutional networks,2017.0
15,https://github.com/object-detection-algorithm/R-CNN/blob/master/README.md,13719,rich feature hierarchies for accurate object detection and semantic segmentation,2014.0
16,https://github.com/darrelllong/Public-key-Cryptography-in-Python/blob/main/README.md,13431,a method for obtaining digital signatures and public key cryptosystems,1978.0
